Timestamp,Age,Gender ,Have you heard about Artificial Intelligence (AI) being used in education? ,"Have you ever used any AI-based tool for your learning? (ChatGPT, Grammarly, Duolingo, recommendation systems in online courses) ","If yes, which AI tools have you used for learning purposes? (Multiple choice)",Do you believe AI can personalize your learning experience? ,Have you received personalized feedback or recommendations from an AI tool that helped improve your learning?,Do you think AI helps in improving student engagement and motivation?,What are the biggest challenges you see in using AI for personalized learning? (Multiple choice),Would you recommend the integration of AI tools in your university’s teaching and learning methods?,What features do you think would make AI easier to use?
6/26/2025 14:20:12,20+,Male,Yes,Yes,"ChatGPT, Grammarly, Duolingo, Gemini, Deepseek, Other",Strongly Agree,Yes,Yes,Over-reliance on AI,Yes,"Offline Mode Usage, Remembering Previous Data, Analyzing Data to Predict Trends or Opportunities, Estimating Prices or Costs, Multimodal Input (Image, Video, Text, Voice), Emotion Sensing, Routine and Reminder Automation"
7/5/2025 10:59:19,20+,Male,Yes,Yes,ChatGPT,Agree,Yes,Yes,Over-reliance on AI,Maybe,Analyzing Data to Predict Trends or Opportunities
7/10/2025 20:15:29,20+,Male,Yes,Yes,ChatGPT,Agree,Not sure,Yes,Lack of awareness,Maybe,Estimating Prices or Costs
7/10/2025 20:17:06,20+,Male,Yes,No,"ChatGPT, Gemini, Deepseek",Neutral,No,No,Lack of human interaction,Yes,"Multimodal Input (Image, Video, Text, Voice)"
7/10/2025 20:19:20,20+,Male,Yes,No,"ChatGPT, Gemini, Deepseek",Agree,Yes,Not sure,Lack of human interaction,Maybe,"Multimodal Input (Image, Video, Text, Voice)"
7/10/2025 20:19:45,20+,Male,Yes,Yes,ChatGPT,Neutral,No,Yes,Cost and accessibility,Maybe,Routine and Reminder Automation
7/11/2025 11:57:25,20+,Male,Yes,Yes,"ChatGPT, Gemini",Strongly Agree,No,Yes,Lack of awareness,Yes,"Multimodal Input (Image, Video, Text, Voice)"
7/11/2025 12:48:37,20+,Male,Yes,Yes,"ChatGPT, Duolingo, Gemini, Deepseek, Other",Agree,Yes,No,Lack of awareness,Yes,"Offline Mode Usage, Remembering Previous Data, Analyzing Data to Predict Trends or Opportunities, Estimating Prices or Costs, Multimodal Input (Image, Video, Text, Voice)"
7/11/2025 17:08:33,20+,Female,Yes,Yes,ChatGPT,Agree,Not sure,Yes,Privacy issues,Maybe,Offline Mode Usage
7/11/2025 17:18:01,20+,Male,Yes,Yes,ChatGPT,Strongly Agree,No,Yes,Lack of awareness,Yes,Remembering Previous Data
7/11/2025 17:18:52,20+,Male,Yes,Yes,ChatGPT,Strongly Agree,Yes,Yes,Cost and accessibility,Yes,"Offline Mode Usage, Remembering Previous Data, Analyzing Data to Predict Trends or Opportunities"
7/11/2025 19:29:50,20+,Male,Yes,Yes,"ChatGPT, Grammarly, Duolingo, Gemini, Deepseek, Other",Strongly Agree,Yes,Yes,Other,Yes,"Offline Mode Usage, Remembering Previous Data, Analyzing Data to Predict Trends or Opportunities, Estimating Prices or Costs, Multimodal Input (Image, Video, Text, Voice), Emotion Sensing, Routine and Reminder Automation"
7/11/2025 19:32:04,20+,Male,Yes,Yes,"ChatGPT, Grammarly, Duolingo, Gemini, Deepseek, Other",Strongly Agree,Yes,Yes,Other,Yes,"Offline Mode Usage, Remembering Previous Data, Analyzing Data to Predict Trends or Opportunities, Estimating Prices or Costs, Multimodal Input (Image, Video, Text, Voice), Emotion Sensing, Routine and Reminder Automation"
7/11/2025 19:35:07,20+,Male,Yes,Yes,"ChatGPT, Duolingo, Gemini, Deepseek",Agree,Yes,Not sure,Over-reliance on AI,Maybe,"Analyzing Data to Predict Trends or Opportunities, Multimodal Input (Image, Video, Text, Voice)"
7/11/2025 19:39:04,20+,Male,Yes,Yes,ChatGPT,Strongly Agree,Yes,Yes,Privacy issues,Yes,"Offline Mode Usage, Remembering Previous Data, Analyzing Data to Predict Trends or Opportunities"
7/11/2025 19:40:58,20+,Male,Yes,Yes,"ChatGPT, Grammarly, Duolingo, Gemini, Deepseek",Strongly Agree,Yes,Yes,Lack of awareness,Yes,Offline Mode Usage
7/11/2025 19:50:22,20+,Female,Yes,Yes,"ChatGPT, Gemini, Other",Agree,Yes,No,Lack of human interaction,Maybe,"Offline Mode Usage, Remembering Previous Data, Multimodal Input (Image, Video, Text, Voice), Routine and Reminder Automation"
7/11/2025 19:56:58,20+,Male,Yes,Yes,ChatGPT,Neutral,Yes,Yes,Privacy issues,Yes,Offline Mode Usage
7/11/2025 20:03:32,20+,Male,Yes,Yes,"ChatGPT, Duolingo, Gemini",Strongly Agree,Yes,Yes,Lack of human interaction,Yes,"Offline Mode Usage, Analyzing Data to Predict Trends or Opportunities, Estimating Prices or Costs, Emotion Sensing"
7/11/2025 21:24:09,40+,Male,No,No,Other,Strongly Disagree,No,No,Over-reliance on AI,No,"Multimodal Input (Image, Video, Text, Voice)"
7/12/2025 15:05:53,20+,Male,Yes,Yes,"ChatGPT, Gemini",Strongly Agree,Yes,Yes,Lack of awareness,Yes,"Remembering Previous Data, Analyzing Data to Predict Trends or Opportunities, Multimodal Input (Image, Video, Text, Voice)"
7/12/2025 15:07:31,20+,Male,Yes,Yes,"ChatGPT, Gemini, Deepseek",Agree,Yes,Yes,Privacy issues,Yes,Offline Mode Usage
7/12/2025 15:18:46,20+,Male,Yes,Yes,ChatGPT,Strongly Agree,Yes,Yes,Other,Yes,Offline Mode Usage
7/12/2025 15:43:26,20+,Male,Yes,Yes,ChatGPT,Agree,Yes,Yes,Lack of human interaction,Yes,"Analyzing Data to Predict Trends or Opportunities, Estimating Prices or Costs"
7/12/2025 15:56:57,20+,Male,Yes,Yes,"ChatGPT, Gemini, Other",Strongly Agree,Yes,Yes,Other,Yes,Analyzing Data to Predict Trends or Opportunities
7/12/2025 16:03:19,20+,Female,Yes,Yes,"ChatGPT, Gemini, Deepseek",Agree,Yes,Yes,Cost and accessibility,Yes,"Multimodal Input (Image, Video, Text, Voice)"
7/12/2025 16:27:18,20+,Male,Yes,Yes,ChatGPT,Strongly Agree,Yes,Yes,Lack of awareness,Yes,Offline Mode Usage
7/12/2025 17:01:48,20+,Male,Yes,Yes,ChatGPT,Agree,Yes,Yes,Lack of human interaction,Yes,"Offline Mode Usage, Remembering Previous Data, Estimating Prices or Costs"
7/12/2025 17:10:32,20+,Male,Yes,Yes,"ChatGPT, Duolingo, Gemini, Deepseek",Agree,Yes,Yes,Privacy issues,Yes,"Offline Mode Usage, Remembering Previous Data, Analyzing Data to Predict Trends or Opportunities, Multimodal Input (Image, Video, Text, Voice)"
7/12/2025 19:35:05,20+,Male,Yes,Yes,"ChatGPT, Duolingo, Gemini, Other",Agree,Yes,Not sure,Lack of awareness,Yes,"Offline Mode Usage, Routine and Reminder Automation"
7/12/2025 20:35:05,20+,Male,Yes,Yes,ChatGPT,Agree,Yes,No,Privacy issues,Yes,Offline Mode Usage
7/12/2025 20:36:17,20+,Male,Yes,Yes,"ChatGPT, Deepseek",Agree,Yes,No,Lack of human interaction,No,"Multimodal Input (Image, Video, Text, Voice), Routine and Reminder Automation"
7/12/2025 20:40:12,Under 20,Female,Yes,Yes,"ChatGPT, Duolingo",Neutral,Not sure,No,Privacy issues,Yes,Estimating Prices or Costs
7/12/2025 22:20:43,20+,Male,Yes,Yes,"ChatGPT, Grammarly, Gemini, Deepseek, Other",Strongly Agree,Yes,Yes,Cost and accessibility,Yes,"Offline Mode Usage, Remembering Previous Data, Analyzing Data to Predict Trends or Opportunities, Estimating Prices or Costs, Multimodal Input (Image, Video, Text, Voice), Emotion Sensing, Routine and Reminder Automation"
7/12/2025 23:06:18,20+,Male,Yes,Yes,"ChatGPT, Deepseek, Other",Agree,Not sure,Not sure,Other,Maybe,"Multimodal Input (Image, Video, Text, Voice)"
7/12/2025 23:23:10,20+,Male,Yes,Yes,ChatGPT,Agree,Yes,Yes,Cost and accessibility,Yes,"Offline Mode Usage, Estimating Prices or Costs, Multimodal Input (Image, Video, Text, Voice)"
7/13/2025 3:30:05,20+,Male,Yes,Yes,ChatGPT,Agree,Yes,Yes,Privacy issues,Yes,Analyzing Data to Predict Trends or Opportunities
7/13/2025 11:01:43,20+,Male,No,Yes,Duolingo,Neutral,Not sure,Not sure,Privacy issues,No,"Remembering Previous Data, Analyzing Data to Predict Trends or Opportunities, Estimating Prices or Costs, Emotion Sensing"
7/13/2025 14:21:42,20+,Male,Yes,Yes,"ChatGPT, Grammarly, Duolingo, Gemini, Deepseek, Other",Strongly Agree,Yes,Yes,Over-reliance on AI,Yes,"Offline Mode Usage, Remembering Previous Data, Analyzing Data to Predict Trends or Opportunities, Multimodal Input (Image, Video, Text, Voice)"
7/13/2025 14:55:29,20+,Male,Yes,Yes,"ChatGPT, Gemini, Deepseek",Strongly Agree,Yes,Yes,Lack of human interaction,Yes,Offline Mode Usage
7/13/2025 14:56:13,20+,Male,Yes,Yes,"ChatGPT, Gemini, Other",Agree,Yes,Yes,Privacy issues,Maybe,"Multimodal Input (Image, Video, Text, Voice)"
7/13/2025 21:58:42,20+,Male,Yes,Yes,"ChatGPT, Gemini, Deepseek, Other",Strongly Agree,Yes,Yes,Privacy issues,Yes,"Offline Mode Usage, Remembering Previous Data, Estimating Prices or Costs, Routine and Reminder Automation"
7/14/2025 11:05:23,20+,Male,Yes,Yes,"ChatGPT, Gemini, Deepseek",Strongly Agree,Yes,Yes,Over-reliance on AI,Yes,Offline Mode Usage
7/14/2025 11:07:52,20+,Male,Yes,Yes,"ChatGPT, Grammarly, Gemini, Deepseek",Agree,Yes,Not sure,Cost and accessibility,Yes,Analyzing Data to Predict Trends or Opportunities
7/14/2025 11:25:13,20+,Male,Yes,Yes,"ChatGPT, Grammarly, Gemini, Other",Strongly Agree,Yes,Yes,Lack of awareness,Yes,"Offline Mode Usage, Remembering Previous Data, Analyzing Data to Predict Trends or Opportunities, Multimodal Input (Image, Video, Text, Voice)"
7/15/2025 11:13:07,20+,Male,Yes,Yes,"ChatGPT, Duolingo, Gemini, Deepseek",Agree,Yes,Yes,Other,Yes,"Offline Mode Usage, Remembering Previous Data, Analyzing Data to Predict Trends or Opportunities, Multimodal Input (Image, Video, Text, Voice)"
7/15/2025 17:38:11,20+,Male,Yes,Yes,"ChatGPT, Duolingo, Deepseek, Other",Agree,Yes,Yes,Cost and accessibility,Yes,Estimating Prices or Costs
7/15/2025 17:48:30,20+,Male,Yes,Yes,Duolingo,Strongly Agree,Yes,Yes,Lack of awareness,Yes,Analyzing Data to Predict Trends or Opportunities
7/15/2025 17:51:14,20+,Male,Yes,Yes,"ChatGPT, Grammarly, Gemini, Deepseek",Strongly Agree,Yes,Yes,Cost and accessibility,Yes,"Offline Mode Usage, Analyzing Data to Predict Trends or Opportunities, Routine and Reminder Automation"
7/15/2025 18:02:04,20+,Male,Yes,Yes,"ChatGPT, Grammarly, Gemini, Deepseek, Other",Agree,Yes,Yes,Cost and accessibility,Yes,"Offline Mode Usage, Estimating Prices or Costs, Multimodal Input (Image, Video, Text, Voice), Emotion Sensing"
7/15/2025 19:06:51,20+,Female,Yes,Yes,"ChatGPT, Deepseek",Neutral,Yes,Yes,Lack of awareness,Yes,"Offline Mode Usage, Estimating Prices or Costs, Multimodal Input (Image, Video, Text, Voice)"
7/15/2025 19:35:15,20+,Female,Yes,Yes,"ChatGPT, Grammarly, Duolingo, Gemini",Agree,Yes,Yes,Over-reliance on AI,Yes,Offline Mode Usage
7/15/2025 20:37:23,20+,Male,Yes,Yes,ChatGPT,Strongly Agree,Yes,Yes,Privacy issues,No,Remembering Previous Data
7/15/2025 20:59:33,20+,Female,No,Yes,ChatGPT,Agree,Yes,No,Privacy issues,Yes,Remembering Previous Data
7/16/2025 4:06:56,20+,Male,Yes,Yes,"ChatGPT, Grammarly, Duolingo, Gemini",Strongly Agree,Yes,Yes,Lack of human interaction,Yes,Analyzing Data to Predict Trends or Opportunities
7/16/2025 15:58:40,20+,Male,Yes,Yes,"ChatGPT, Grammarly, Duolingo, Gemini, Deepseek, Other",Agree,Yes,Yes,Privacy issues,Yes,"Analyzing Data to Predict Trends or Opportunities, Multimodal Input (Image, Video, Text, Voice)"
7/19/2025 0:53:56,20+,Female,Yes,Yes,"ChatGPT, Grammarly, Duolingo, Gemini",Agree,Yes,Yes,Over-reliance on AI,Yes,"Multimodal Input (Image, Video, Text, Voice)"
7/19/2025 0:54:34,20+,Male,Yes,Yes,"ChatGPT, Grammarly, Duolingo, Gemini",Agree,Yes,Yes,Over-reliance on AI,Yes,"Offline Mode Usage, Multimodal Input (Image, Video, Text, Voice)"
7/19/2025 0:55:12,20+,Male,Yes,Yes,"ChatGPT, Grammarly, Duolingo, Gemini",Agree,Yes,Yes,Over-reliance on AI,Yes,"Offline Mode Usage, Remembering Previous Data"
7/19/2025 0:55:37,20+,Female,Yes,Yes,"ChatGPT, Grammarly",Agree,Yes,Yes,Over-reliance on AI,Yes,Offline Mode Usage
7/19/2025 0:56:01,20+,Female,Yes,Yes,"ChatGPT, Grammarly, Duolingo, Gemini",Strongly Agree,Yes,Yes,Over-reliance on AI,Yes,Offline Mode Usage
7/19/2025 0:56:27,Under 20,Male,Yes,Yes,"ChatGPT, Grammarly, Duolingo, Gemini",Strongly Agree,Yes,Yes,Over-reliance on AI,Yes,"Offline Mode Usage, Emotion Sensing"
7/19/2025 0:56:52,20+,Male,Yes,Yes,"ChatGPT, Grammarly, Duolingo, Gemini",Agree,Yes,Yes,Over-reliance on AI,Yes,"Offline Mode Usage, Remembering Previous Data, Analyzing Data to Predict Trends or Opportunities, Estimating Prices or Costs, Multimodal Input (Image, Video, Text, Voice)"
7/19/2025 9:52:09,20+,Male,Yes,Yes,"ChatGPT, Grammarly, Duolingo, Gemini, Deepseek",Strongly Agree,Yes,Yes,Cost and accessibility,Yes,"Remembering Previous Data, Analyzing Data to Predict Trends or Opportunities, Estimating Prices or Costs, Emotion Sensing, Routine and Reminder Automation"
7/19/2025 10:18:20,20+,Female,Yes,Yes,ChatGPT,Agree,Yes,Yes,Lack of human interaction,Yes,"Multimodal Input (Image, Video, Text, Voice)"
7/19/2025 13:58:52,20+,Female,Yes,Yes,"ChatGPT, Grammarly, Gemini, Deepseek",Strongly Agree,Yes,Yes,Cost and accessibility,Yes,"Offline Mode Usage, Remembering Previous Data, Analyzing Data to Predict Trends or Opportunities"
7/21/2025 9:16:23,20+,Female,Yes,Yes,ChatGPT,Strongly Agree,Yes,Yes,Lack of human interaction,Yes,Offline Mode Usage
7/26/2025 22:49:48,20+,Female,Yes,Yes,"ChatGPT, Grammarly, Duolingo, Gemini",Disagree,Yes,Yes,Over-reliance on AI,Yes,"Offline Mode Usage, Emotion Sensing"
7/26/2025 22:50:29,20+,Male,Yes,Yes,"ChatGPT, Grammarly, Duolingo, Gemini",Agree,Yes,Yes,Over-reliance on AI,Yes,Offline Mode Usage
7/26/2025 22:51:54,20+,Male,Yes,Yes,"ChatGPT, Grammarly, Duolingo, Gemini",Agree,Yes,Yes,Over-reliance on AI,Yes,"Offline Mode Usage, Emotion Sensing"
7/26/2025 22:52:23,20+,Male,Yes,Yes,"ChatGPT, Gemini",Strongly Agree,Yes,Yes,Over-reliance on AI,Yes,"Offline Mode Usage, Remembering Previous Data"
7/26/2025 22:52:46,20+,Male,Yes,Yes,"ChatGPT, Grammarly",Strongly Agree,Yes,Yes,Privacy issues,Yes,"Offline Mode Usage, Emotion Sensing"
7/26/2025 22:53:11,20+,Male,Yes,Yes,"ChatGPT, Grammarly",Strongly Agree,Yes,Yes,Privacy issues,Yes,"Offline Mode Usage, Emotion Sensing"
7/26/2025 22:53:35,20+,Male,Yes,No,"ChatGPT, Duolingo",Strongly Agree,Yes,Yes,Over-reliance on AI,Yes,"Offline Mode Usage, Multimodal Input (Image, Video, Text, Voice), Emotion Sensing"
7/26/2025 22:53:56,20+,Male,Yes,Yes,ChatGPT,Strongly Agree,Yes,Yes,Lack of awareness,Yes,"Offline Mode Usage, Emotion Sensing"
7/26/2025 22:54:22,20+,Male,Yes,Yes,"ChatGPT, Grammarly, Duolingo, Gemini",Strongly Agree,Yes,Yes,Over-reliance on AI,Yes,"Offline Mode Usage, Emotion Sensing"
7/26/2025 22:54:47,20+,Male,Yes,Yes,"ChatGPT, Gemini",Disagree,Yes,No,Over-reliance on AI,Yes,"Offline Mode Usage, Multimodal Input (Image, Video, Text, Voice)"
7/26/2025 22:55:06,20+,Male,Yes,Yes,ChatGPT,Strongly Agree,Yes,Yes,Lack of awareness,Yes,"Offline Mode Usage, Emotion Sensing"
7/26/2025 22:59:58,20+,Female,Yes,Yes,"ChatGPT, Gemini, Other",Agree,Yes,Yes,Lack of awareness,Yes,Offline Mode Usage
7/26/2025 23:01:03,20+,Male,Yes,Yes,"ChatGPT, Grammarly, Duolingo, Gemini, Deepseek, Other",Strongly Agree,Yes,Yes,Lack of awareness,Yes,"Analyzing Data to Predict Trends or Opportunities, Multimodal Input (Image, Video, Text, Voice), Routine and Reminder Automation"
7/26/2025 23:03:19,20+,Male,Yes,Yes,"ChatGPT, Gemini",Strongly Agree,Yes,Yes,Over-reliance on AI,Yes,"Offline Mode Usage, Emotion Sensing"
7/26/2025 23:08:41,20+,Male,Yes,Yes,ChatGPT,Strongly Agree,Not sure,Yes,Privacy issues,Yes,Offline Mode Usage
7/26/2025 23:13:09,20+,Female,Yes,Yes,"ChatGPT, Gemini",Agree,Yes,Yes,Other,Yes,Offline Mode Usage
7/26/2025 23:13:52,20+,Male,Yes,Yes,"Grammarly, Gemini",Agree,Yes,Yes,Cost and accessibility,Yes,Remembering Previous Data
7/26/2025 23:20:12,20+,Male,Yes,No,,Agree,Yes,Yes,Lack of human interaction,Yes,"Multimodal Input (Image, Video, Text, Voice)"
7/27/2025 1:03:18,20+,Male,Yes,Yes,"ChatGPT, Grammarly, Duolingo, Gemini, Deepseek, Other",Strongly Agree,Yes,Yes,Privacy issues,Maybe,Offline Mode Usage
7/27/2025 21:46:57,20+,Male,Yes,Yes,"ChatGPT, Grammarly",Strongly Agree,Yes,Yes,Other,Maybe,"Offline Mode Usage, Remembering Previous Data, Analyzing Data to Predict Trends or Opportunities, Estimating Prices or Costs, Multimodal Input (Image, Video, Text, Voice)"
7/29/2025 13:07:09,20+,Male,Yes,Yes,"ChatGPT, Grammarly, Duolingo, Gemini",Strongly Agree,Yes,Yes,Over-reliance on AI,Yes,"Offline Mode Usage, Remembering Previous Data, Emotion Sensing"
7/29/2025 13:07:34,20+,Female,Yes,Yes,"ChatGPT, Grammarly",Agree,Yes,Yes,Over-reliance on AI,Yes,"Remembering Previous Data, Routine and Reminder Automation"
7/29/2025 13:08:19,20+,Female,Yes,Yes,"ChatGPT, Gemini",Agree,Yes,Yes,Cost and accessibility,Yes,"Offline Mode Usage, Multimodal Input (Image, Video, Text, Voice)"
7/29/2025 13:08:41,20+,Male,Yes,Yes,ChatGPT,Strongly Agree,Yes,Yes,Over-reliance on AI,Yes,"Multimodal Input (Image, Video, Text, Voice), Emotion Sensing"
7/29/2025 13:09:06,20+,Male,Yes,Yes,ChatGPT,Strongly Agree,Yes,Yes,Privacy issues,Yes,"Multimodal Input (Image, Video, Text, Voice), Emotion Sensing"
7/29/2025 13:11:05,20+,Male,Yes,Yes,ChatGPT,Strongly Agree,Yes,Yes,Over-reliance on AI,Yes,Offline Mode Usage
7/29/2025 13:11:34,20+,Male,Yes,Yes,"ChatGPT, Grammarly",Agree,Yes,Yes,Over-reliance on AI,Yes,"Offline Mode Usage, Emotion Sensing"
7/29/2025 13:12:18,20+,Male,Yes,Yes,ChatGPT,Strongly Agree,Yes,Yes,Over-reliance on AI,Yes,Emotion Sensing
7/29/2025 13:12:41,20+,Male,Yes,Yes,ChatGPT,Strongly Agree,Yes,Yes,Lack of awareness,Yes,"Multimodal Input (Image, Video, Text, Voice)"
7/29/2025 13:13:51,20+,Male,Yes,Yes,"ChatGPT, Grammarly, Duolingo, Gemini, Deepseek",Strongly Agree,Yes,Yes,Over-reliance on AI,Yes,"Multimodal Input (Image, Video, Text, Voice)"
7/29/2025 13:14:24,20+,Female,Yes,Yes,"ChatGPT, Grammarly, Duolingo, Gemini, Deepseek",Strongly Agree,Yes,Yes,Over-reliance on AI,Yes,"Multimodal Input (Image, Video, Text, Voice), Emotion Sensing"
7/29/2025 13:15:07,20+,Male,Yes,Yes,"ChatGPT, Gemini",Strongly Agree,Yes,Yes,Privacy issues,Yes,Offline Mode Usage
7/29/2025 13:15:45,20+,Male,Yes,Yes,"ChatGPT, Gemini",Strongly Agree,Yes,Yes,Over-reliance on AI,Yes,Emotion Sensing
7/29/2025 13:16:16,20+,Male,Yes,Yes,"ChatGPT, Grammarly, Duolingo, Gemini, Deepseek",Strongly Agree,Yes,Yes,Lack of human interaction,Maybe,Offline Mode Usage
7/29/2025 13:16:44,20+,Male,Yes,Yes,"ChatGPT, Grammarly",Strongly Agree,Yes,Yes,Cost and accessibility,Yes,"Multimodal Input (Image, Video, Text, Voice), Emotion Sensing"
7/29/2025 13:17:07,20+,Male,Yes,Yes,ChatGPT,Strongly Agree,Yes,Yes,Over-reliance on AI,Yes,Emotion Sensing
7/29/2025 13:17:49,40+,Male,Yes,Yes,"ChatGPT, Grammarly, Duolingo, Gemini, Deepseek",Strongly Agree,Yes,Yes,Privacy issues,Yes,"Analyzing Data to Predict Trends or Opportunities, Multimodal Input (Image, Video, Text, Voice)"
7/29/2025 13:18:15,20+,Male,Yes,Yes,ChatGPT,Agree,Yes,Not sure,Over-reliance on AI,Yes,"Offline Mode Usage, Emotion Sensing"
7/29/2025 13:18:40,20+,Male,Yes,Yes,ChatGPT,Strongly Agree,Yes,Yes,Over-reliance on AI,Yes,"Multimodal Input (Image, Video, Text, Voice), Emotion Sensing"
7/29/2025 13:19:14,20+,Male,Yes,Yes,"ChatGPT, Gemini",Strongly Agree,Yes,Yes,Over-reliance on AI,Yes,Routine and Reminder Automation
7/29/2025 13:19:36,20+,Male,Yes,Yes,ChatGPT,Agree,Yes,Yes,Over-reliance on AI,Yes,Emotion Sensing
7/29/2025 13:20:09,20+,Female,Yes,Yes,"ChatGPT, Gemini",Agree,Yes,Yes,Over-reliance on AI,Yes,"Offline Mode Usage, Emotion Sensing"
7/29/2025 16:43:15,20+,Male,Yes,Yes,ChatGPT,Strongly Agree,Yes,Yes,Over-reliance on AI,Yes,"Offline Mode Usage, Emotion Sensing"
7/29/2025 16:43:50,20+,Male,Yes,Yes,"ChatGPT, Grammarly",Strongly Agree,Yes,Yes,Over-reliance on AI,Yes,"Offline Mode Usage, Remembering Previous Data, Estimating Prices or Costs, Multimodal Input (Image, Video, Text, Voice)"
7/29/2025 16:44:16,20+,Male,Yes,Yes,"ChatGPT, Duolingo",Strongly Agree,Yes,Yes,Over-reliance on AI,Yes,"Offline Mode Usage, Multimodal Input (Image, Video, Text, Voice)"
7/29/2025 16:44:55,20+,Male,Yes,Yes,"ChatGPT, Grammarly, Deepseek",Agree,Yes,Yes,Over-reliance on AI,Yes,Emotion Sensing
7/29/2025 16:45:22,20+,Male,Yes,Yes,"ChatGPT, Gemini",Agree,Yes,Yes,Lack of awareness,Yes,"Multimodal Input (Image, Video, Text, Voice)"
7/29/2025 16:45:47,20+,Male,Yes,Yes,ChatGPT,Strongly Agree,Yes,Yes,Privacy issues,Yes,Offline Mode Usage
7/29/2025 16:46:27,20+,Male,Yes,Yes,ChatGPT,Agree,Yes,Yes,Over-reliance on AI,Yes,Remembering Previous Data
7/29/2025 16:47:29,20+,Male,Yes,Yes,"ChatGPT, Gemini, Deepseek",Strongly Agree,Yes,Yes,Over-reliance on AI,Yes,"Multimodal Input (Image, Video, Text, Voice)"
7/29/2025 16:47:55,20+,Female,Yes,No,"ChatGPT, Gemini",Agree,Yes,Yes,Over-reliance on AI,Yes,"Offline Mode Usage, Estimating Prices or Costs"
7/29/2025 16:48:20,20+,Male,Yes,Yes,ChatGPT,Agree,Yes,Yes,Privacy issues,Yes,Estimating Prices or Costs
7/29/2025 16:48:46,20+,Male,Yes,Yes,"ChatGPT, Gemini",Strongly Agree,Yes,Yes,Over-reliance on AI,Yes,"Emotion Sensing, Routine and Reminder Automation"
7/29/2025 16:49:14,20+,Male,Yes,Yes,"ChatGPT, Gemini",Strongly Agree,Yes,Yes,Over-reliance on AI,Yes,Routine and Reminder Automation
7/29/2025 16:50:03,20+,Female,No,No,"Duolingo, Gemini",Neutral,Yes,Yes,Over-reliance on AI,Yes,"Offline Mode Usage, Remembering Previous Data"
7/29/2025 16:50:34,20+,Female,Yes,Yes,"ChatGPT, Grammarly",Agree,Yes,Yes,Cost and accessibility,Yes,"Multimodal Input (Image, Video, Text, Voice), Emotion Sensing"
7/29/2025 16:51:00,20+,Female,Yes,Yes,"Grammarly, Duolingo",Agree,Yes,Yes,Lack of human interaction,Yes,"Multimodal Input (Image, Video, Text, Voice), Emotion Sensing"
7/29/2025 16:51:27,20+,Female,Yes,Yes,"ChatGPT, Grammarly, Duolingo, Gemini",Agree,Yes,Yes,Lack of human interaction,Yes,"Multimodal Input (Image, Video, Text, Voice)"
